driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Taxi,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Unknown,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (> 45 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Dry,Darkness - lights lit,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Bajaj,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Serious Injury
,,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Fatal injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Fatal injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Parked,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Public (12 seats),One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Other,One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,3.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Unknown,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
5-10yr,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Other,,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
Below 1yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),,Crossing,Dry,Darkness - lights lit,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,3.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Slight Injury
,Ridden horse,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Stationwagen,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,other,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,1.0,Parked,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Unknown,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,1.0,Stopping,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Overtaking,Not a Pedestrian,Slight Injury
Below 1yr,Bajaj,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,2.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Cloudy,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Y Shape,Dry,Daylight,Cloudy,2.0,Unknown,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Cloudy,2.0,Going straight,Not a Pedestrian,Slight Injury
,,,Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
2-5yr,Automobile,,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Unknown or other,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Turnover,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
